id_depute|nom|prenom|lien|naissance_j|naissance_m|naissance_a|deces_j|deces_m|deces_a
859|Blancsubé|Marie, Jules|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/859|11|12|1834|2|3|1888
7902|Blandin|Eugène, Louis, Nazaire, Bénigne|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7902|28|7|1830|14|2|1898
7903|Blatin|Antoine, Jean-Baptiste|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7903|1|7|1841|15|10|1911
870|Blin de Bourdon|Alexandre, Raoul, Marie|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/870|20|5|1837|17|4|1940
945|Bonnerot|Henri|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/945|31|5|1838|27|1|1886
973|Boreau-Lajanadie|Charles, François, Joseph|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/973|20|10|1825|1|1|1918
978|Borie|Léon, Etienne|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/978|21|3|1843|10|7|1908
987|Borriglione|Alfred, Ferdinand|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/987|17|2|1841|29|7|1902
993|Boscher-Delangle|Augustin, Marie|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/993|13|5|1840|27|1|1912
3149|Bosquillon de Frescheville|Joseph, Anatole|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/3149|23|2|1823|18|2|1911
1000|Bottieau|Emile, Anatole|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1000|12|9|1822|9|10|1887
1004|Boucau|Albert, Jean-Marie, Alexandre|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1004|26|12|1826|24|7|1893
1009|Boucher|Joseph, Marie|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1009|23|9|1829|28|3|1907
1047|Boulanger|Georges, Ernest, Jean-Marie|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1047|29|4|1837|30|9|1891
1059|Boullay|Etienne|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1059|16|5|1825|28|5|1893
7904|Bourganel|Pierre|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7904|18|2|1850|13|6|1926
1085|Bourgeois|Paul, Antoine, Charles|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1085|6|3|1827|16|3|1912
1083|Bourgeois|Léon, Victor, Auguste|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1083|29|5|1851|29|9|1925
1087|Bourgeois dit Bourgeois-Du-Jura|Jean-Baptiste|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1087|19|2|1831|23|2|1900
1098|Bourlier|Charles, Nicolas|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1098|5|4|1830|13|2|1903
7905|Bourneville|Nicolas, Charles, Désiré, Magloire|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7905|21|10|1840|30|5|1909
8166|Bourrillon|Xavier|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/8166|8|11|1840|22|4|1893
1115|Bousquet|Victor|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1115|20|4|1839|1|1|1890
7906|Bouvattier|Jules, Marie, François|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7906|9|9|1843|18|11|1917
1148|Bovier-Lapierre|Amédée-Pierre,Marie, Auguste, Ennemond|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1148|27|3|1837|25|12|1899
1150|Boyer|Antoine, Jean-Baptiste, dit Antide|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1150|26|10|1850|24|7|1918
1158|Boysset|Charles, Guillaume|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1158|29|4|1817|22|5|1901
7910|Brame|Georges, Jules, Louis|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7910|16|7|1839|4|2|1888
1190|Brelay|Pierre, Eugène, Emile|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1190|7|12|1817|15|10|1889
7907|Bresson|Edouard, Victor, Stanislas|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7907|27|6|1826|12|3|1911
8225|Brialou|Georges|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/8225|14|2|1833|11|7|1897
1220|Brice|René, Joseph|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1220|23|6|1839|26|7|1921
7908|Briet de Rainvillers|Louis, Jean, Philippe|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7908|8|11|1838|14|2|1907
1240|Brisson|Henri, Eugène|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1240|31|7|1835|13|4|1912
1259|Brousse|Emile|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1259|25|9|1850|27|2|1914
1266|Brugeilles|Pierre, Joseph, Louis|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1266|19|3|1845|8|2|1893
