id_depute|nom|prenom|lien|naissance_j|naissance_m|naissance_a|deces_j|deces_m|deces_a
790|Bienvenu-Martin|Jean-Baptiste|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/790|22|7|1847|10|12|1943
817|Binder|Maurice, Charles, Henri|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/817|21|3|1857|24|10|1944
827|Bischoffsheim|Raphaël, Louis|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/827|22|7|1823|20|5|1906
831|Bizarelli|Louis|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/831|25|7|1836|19|6|1902
834|Bizot|Eugène,  Jean, Jacques|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/834|5|1|1855|25|7|1908
835|Bizouard-Bert|Mathieu|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/835|10|6|1826|26|4|1898
851|Blanc|Pierre|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/851|20|6|1806|28|4|1896
849|Blanc|Louis, Antoine|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/849|14|4|1838|24|10|1914
847|Blanc|Henri|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/847|7|1|1858|24|4|1936
846|Blanc|Edmond|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/846|22|2|1856|12|12|1920
926|Bonard|Etienne, Alexandre|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/926|31|3|1855|||
961|Bontemps|Charles, François, Xavier|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/961|22|4|1840|17|3|1903
965|Bony-Cisternes|Antoine|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/965|15|12|1847|18|9|1928
987|Borriglione|Alfred, Ferdinand|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/987|17|2|1841|29|7|1902
988|Bory|Armand, Jean, Antoine, Henri|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/988|8|7|1844|20|5|1931
1008|Boucher|Henry, Hippolyte, Paul|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1008|19|9|1847|1|2|1927
1018|Boudenoot|Louis, Charles, François|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1018|2|5|1855|22|10|1922
1021|Boudeville|Charles|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1021|23|9|1824|22|2|1895
1029|Bouge|Auguste, Eugène, César, Marie|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1029|23|6|1853|8|1|1931
1031|Bougère|Laurent|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1031|14|12|1864|18|7|1918
1073|Bourcy|Pascal, Emile|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1073|1|10|1829|5|5|1909
1085|Bourgeois|Paul, Antoine, Charles|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1085|6|3|1827|16|3|1912
1083|Bourgeois|Léon, Victor, Auguste|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1083|29|5|1851|29|9|1925
1087|Bourgeois dit Bourgeois-Du-Jura|Jean-Baptiste|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1087|19|2|1831|23|2|1900
1092|Bourgoin|Edmé, Alfrède|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1092|27|5|1836|10|2|1897
1098|Bourlier|Charles, Nicolas|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1098|5|4|1830|13|2|1903
1100|Bourlon de Rouvre|Charles|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1100|16|11|1850|16|2|1924
1103|Bourrat|Jean, Michel, Justin|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1103|12|12|1859|4|7|1909
1104|Bourrillon|Maurice, Marie, Alfred, Henri|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1104|15|9|1853|6|5|1926
1148|Bovier-Lapierre|Amédée-Pierre,Marie, Auguste, Ennemond|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1148|27|3|1837|25|12|1899
1150|Boyer|Antoine, Jean-Baptiste, dit Antide|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1150|26|10|1850|24|7|1918
1158|Boysset|Charles, Guillaume|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1158|29|4|1817|22|5|1901
1160|Bozérian|Gaston, Eugène, Elie|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1160|16|7|1853|17|2|1899
1182|Braud|Ernest,  Jean, François-Xavier|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1182|11|7|1846|3|12|1915
1201|Breton|Ernest|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1201|19|4|1841|12|11|1901
1220|Brice|René, Joseph|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1220|23|6|1839|26|7|1921
1218|Brice|Damas, Dominique, Jules|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1218|28|10|1830|10|7|1905
1224|Briens|Ernest, François|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1224|13|7|1835|10|7|1907
1233|Brincard|Louis, Ernest|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1233|11|3|1842|18|1|1920
1234|Brindeau|Louis, Eugène, Henri|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1234|21|12|1856|24|7|1936
1240|Brisson|Henri, Eugène|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1240|31|7|1835|13|4|1912
1259|Brousse|Emile|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1259|25|9|1850|27|2|1914
1280|Brune|François|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1280|1|4|1835|29|12|1906
1289|Brunet|Louis|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1289|23|7|1847|26|12|1905
1312|Burdeau|Auguste, Laurent|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1312|10|9|1851|12|12|1894
1331|Buvignier|Charles, Jean, Victor|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1331|1|1|1823|24|12|1902
1338|Cabart-Danneville|Charles, Maurice|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1338|24|6|1846|24|7|1918
50|Caillard d'Aillières|Augustin, Fernand|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/50|31|1|1849|2|2|1897
1393|Calvinhac|Gustave, François, Louis|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1393|24|6|1849|6|7|1902
1448|Carnaud|Maximilien, Antoine, Albert|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1448|6|7|1863|5|11|1937
1450|Carnot|Ernest, Claude, Jean|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1450|26|12|1866|15|1|1955
1460|Carpentier-Risbourg|Isidore|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1460|12|9|1842|8|9|1917
1462|Carquet|Francis|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1462|12|10|1845|23|7|1899
1494|Cassou|Jean, René|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1494|31|5|1827|17|1|1906
1501|Castelin|André|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1501|5|7|1858|24|7|1912
1512|Castillard|Henry|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1512|3|9|1847|22|7|1927
1535|Caussanel|Charles|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1535|18|9|1838|29|10|1925
1539|Cavaignac|Godefroy, Jacques, Marie, Eugène|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1539|21|5|1853|24|9|1905
1556|Caze|Edmond, Marie, Justin|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1556|16|9|1839|10|9|1907
1565|Cazes|Thierry|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1565|3|7|1861|12|3|1932
1567|Ceccaldi|Dominique, François|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1567|2|2|1833|8|7|1897
1581|César-Lainé|Georges, Augustin|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1581|5|12|1846|22|1|1898
1596|Chabrié|Adrien, Pierre, François, Denis|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1596|3|7|1855|2|10|1926
1617|Chambige|Léon, François, Claude|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1617|21|1|1853|21|11|1914
1624|Chamerlat|Noêl, Victor, François)|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1624|28|11|1841|13|4|1911
1637|Chandioux|Jean, Rollin|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1637|21|3|1849|12|11|1915
1644|Chantelauze|Laurent|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1644|24|5|1847|25|3|1903
1650|Chapuis|Gustave|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1650|12|1|1851|22|12|1920
1672|Charmes|Francis, Marie, Julien, Joseph, François|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1672|21|4|1848|4|1|1916
1673|Charonnat|Jean-Baptiste, Jules|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1673|4|11|1834|6|2|1911
1675|Charpentier|Edmond,  Louis, Alfred|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1675|20|12|1858|21|12|1928
1685|Charruyer|Edouard, Jules|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1685|25|4|1861|23|1|1906
1694|Chassaing|Henri-Blaise|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1694|15|12|1855|25|4|1908
1701|Chastenet de Castaing|Guillaume|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1701|5|7|1858|20|7|1933
1709|Chaudey|Georges, Gabriel, Auguste|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1709|23|5|1857|10|3|1940
1712|Chaulin-Servinière|Lucien|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1712|11|6|1848|26|7|1898
1727|Chautemps|Emile, François|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1727|2|5|1850|10|12|1918
1734|Chauvière|Emmanuel, Jean, Jules|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1734|13|7|1850|2|6|1910
1738|Chauvin|René, Auguste|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1738|23|3|1860|28|4|1936
1744|Chavoix|Henri, Jean, Georges, François|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1744|28|1|1844|28|3|1928
1760|Chenavaz|Octave, Pierre, Léonce|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1760|15|7|1855|6|7|1912
1774|Chevallier|Emile, Louis, Augustin|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1774|21|12|1851|1|2|1902
1783|Chevillon|Joseph, Marie, Eugène|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1783|21|3|1849|29|4|1910
